Manufacturer,Country,Doses
Janssen (J&J) ,Japan,0
Janssen (J&J) ,Canada,10000000
Janssen (J&J) ,India,0
Janssen (J&J) ,China,0
Janssen (J&J) ,Brazil,38000000
Janssen (J&J) ,UK,30000000
Janssen (J&J) ,USA,100000000
Janssen (J&J) ,COVAX,200000000
Janssen (J&J) ,EU,200000000
Sinovac,Algeria,0
Sinovac,Bosnia,0
Sinovac,Croatia,0
Sinovac,Cyprus,0
Sinovac,Germany,0
Sinovac,Macao,0
Sinovac,Moldova,0
Sinovac,Paraguay,0
Sinovac,Qatar,0
Sinovac,Russia,0
Sinovac,Singapore,0
Sinovac,Syria,0
Sinovac,San Marino,0
Sinovac,Belarus,0
Sinovac,Mauritius,0
Sinovac,Senegal,0
Sinovac,Somalia,0
Sinovac,Benin,0
Sinovac,Maldives,0
Sinovac,Bahrain,0
Sinovac,Oman,0
Sinovac,Armenia,0
Sinovac,Jordan,0
Sinovac,Kosovo,0
Sinovac,North Macedonia,0
Sinovac,Honduras,0
Sinovac,Albania,1000000
Sinovac,Botswana,400000
Sinovac,Slovakia,0
Sinovac,Uzbekistan,0
Sinovac,Palestine,0
Sinovac,Zimbabwe,1200000
Sinovac,Tunisia,0
Sinovac,Kazakhstan,0
Sinovac,Lebanon,0
Sinovac,United Arab Emirates,0
Sinovac,Cambodia,1500000
Sinovac,Mongolia,0
Sinovac,Uruguay,1700000
Sinovac,Kuwait,0
Sinovac,Panama,0
Sinovac,Costa Rica,0
Sinovac,Serbia,0
Sinovac,Iraq,0
Sinovac,Hungary,0
Sinovac,Saudi Arabia,0
Sinovac,El Salvador,2150000
Sinovac,Azerbaijan,9000000
Sinovac,Venezuela,0
Sinovac,Hong Kong,7500000
Sinovac,Ecuador,2020000
Sinovac,Guatemala,0
Sinovac,Dominican Republic,0
Sinovac,Bolivia,0
Sinovac,Nepal,0
Sinovac,New Zealand,0
Sinovac,Pakistan,5000000
Sinovac,Switzerland,0
Sinovac,South Africa,0
Sinovac,Bangladesh,0
Sinovac,Myanmar,0
Sinovac,SriLanka,0
Sinovac,Taiwan,0
Sinovac,Israel,0
Sinovac,Ukraine,5000000
Sinovac,Colombia,7500000
Sinovac,Peru,0
Sinovac,Argentina,0
Sinovac,Iran,0
Sinovac,Malaysia,25000000
Sinovac,Vietnam,0
